nombre,descripcion,clase,potencia
barrier,Raises the user’s Defense by two stages.,0,0
light-screen,Reduces damage from special attacks by 50% for five turns.,0,0
haze,"Resets all Pokémon’s stats, accuracy, and evasion.",0,0
reflect,Reduces damage from physical attacks by half.,0,0
focus-energy,Increases the user’s chance to score a critical hit.,0,0
bide,"User waits for two turns, then hits back for twice the damage it took.",0,0
metronome,Randomly selects and uses any move in the game.,0,0
mirror-move,Uses the target’s last used move.,0,0
self-destruct,User faints.,1,200
egg-bomb,Inflicts regular damage with no additional effect.,1,100
lick,Has a 30% chance to paralyze the target.,1,30
smog,Has a 40% chance to poison the target.,1,30
sludge,Has a 30% chance to poison the target.,1,65
bone-club,Has a 10% chance to make the target flinch.,1,65
fire-blast,Has a 10% chance to burn the target.,1,110
waterfall,Has a 20% chance to make the target flinch.,1,80
clamp,Prevents the target from fleeing and inflicts damage for 2-5 turns.,1,35
swift,Never misses.,1,60
skull-bash,Raises the user’s Defense by one stage.  User charges for one turn before attacking.,1,130
spike-cannon,Hits 2-5 times in one turn.,1,20
constrict,Has a 10% chance to lower the target’s Speed by one stage.,1,10
amnesia,Raises the user’s Special Defense by two stages.,0,0
kinesis,Lowers the target’s accuracy by one stage.,0,0
soft-boiled,Heals the user by half its max HP.,0,0
high-jump-kick,"If the user misses, it takes half the damage it would have inflicted in recoil.",1,130
glare,Paralyzes the target.,0,0
dream-eater,Only works on sleeping Pokémon.  Drains half the damage inflicted to heal the user.,1,100
poison-gas,Poisons the target.,0,0
barrage,Hits 2-5 times in one turn.,1,15
leech-life,Drains half the damage inflicted to heal the user.,1,80
lovely-kiss,Puts the target to sleep.,0,0
sky-attack,User charges for one turn before attacking.  Has a 30% chance to make the target flinch.,1,140
transform,User becomes a copy of the target until it leaves battle.,0,0
bubble,Has a 10% chance to lower the target’s Speed by one stage.,1,40
dizzy-punch,Has a 20% chance to confuse the target.,1,70
spore,Puts the target to sleep.,0,0
flash,Lowers the target’s accuracy by one stage.,0,0
psywave,Inflicts damage between 50% and 150% of the user’s level.,0,0
splash,Does nothing.,0,0
acid-armor,Raises the user’s Defense by two stages.,0,0
crabhammer,Has an increased chance for a critical hit.,1,100
explosion,User faints.,1,250
fury-swipes,Hits 2-5 times in one turn.,1,18
bonemerang,Hits twice in one turn.,1,50
rest,"User sleeps for two turns, completely healing itself.",0,0
rock-slide,Has a 30% chance to make the target flinch.,1,75
hyper-fang,Has a 10% chance to make the target flinch.,1,80
sharpen,Raises the user’s Attack by one stage.,0,0
conversion,User’s type changes to the type of one of its moves at random.,0,0
tri-attack,"Has a 20% chance to burn, freeze, or paralyze the target.",1,80
super-fang,Inflicts damage equal to half the target’s HP.,0,0
slash,Has an increased chance for a critical hit.,1,70
substitute,"Transfers 1/4 of the user’s max HP into a doll, protecting the user from further damage or status changes until it breaks.",0,0
struggle,User takes 1/4 its max HP in recoil.,1,50
sketch,Permanently becomes the target’s last used move.,0,0
triple-kick,"Hits three times, increasing power by 100% with each successful hit.",1,10
thief,Takes the target’s item.,1,60
spider-web,Prevents the target from leaving battle.,0,0
mind-reader,Ensures that the user’s next move will hit the target.,0,0
nightmare,Target loses 1/4 its max HP every turn as long as it’s asleep.,0,0
flame-wheel,Has a 10% chance to burn the target.  Lets frozen Pokémon thaw themselves.,1,60
snore,Has a 30% chance to make the target flinch.  Only works if the user is sleeping.,1,50
curse,Ghosts pay half their max HP to hurt the target every turn.  Others decrease Speed but raise Attack and Defense.,0,0
flail,"Inflicts more damage when the user has less HP remaining, with a maximum of 200 power.",0,0
conversion-2,Changes the user’s type to a random type either resistant or immune to the last move used against it.,0,0
aeroblast,Has an increased chance for a critical hit.,1,100
cotton-spore,Lowers the target’s Speed by two stages.,0,0
reversal,"Inflicts more damage when the user has less HP remaining, with a maximum of 200 power.",0,0
spite,Lowers the PP of the target’s last used move by 4.,0,0
powder-snow,Has a 10% chance to freeze the target.,1,40
protect,Prevents any moves from hitting the user this turn.,0,0
mach-punch,Inflicts regular damage with no additional effect.,1,40
scary-face,Lowers the target’s Speed by two stages.,0,0
feint-attack,Never misses.,1,60
sweet-kiss,Confuses the target.,0,0
belly-drum,User pays half its max HP to max out its Attack.,0,0
sludge-bomb,Has a 30% chance to poison the target.,1,90
mud-slap,Has a 100% chance to lower the target’s accuracy by one stage.,1,20
octazooka,Has a 50% chance to lower the target’s accuracy by one stage.,1,65
spikes,"Scatters Spikes, hurting opposing Pokémon that switch in.",0,0
zap-cannon,Has a 100% chance to paralyze the target.,1,120
foresight,"Forces the target to have no Evade, and allows it to be hit by Normal and Fighting moves even if it’s a Ghost.",0,0
destiny-bond,"If the user faints this turn, the target automatically will, too.",0,0
perish-song,User and target both faint after three turns.,0,0
icy-wind,Has a 100% chance to lower the target’s Speed by one stage.,1,55
detect,Prevents any moves from hitting the user this turn.,0,0
bone-rush,Hits 2-5 times in one turn.,1,25
lock-on,Ensures that the user’s next move will hit the target.,0,0
outrage,"Hits every turn for 2-3 turns, then confuses the user.",1,120
sandstorm,Changes the weather to a sandstorm for five turns.,0,0
giga-drain,Drains half the damage inflicted to heal the user.,1,75
endure,Prevents the user’s HP from lowering below 1 this turn.,0,0
charm,Lowers the target’s Attack by two stages.,0,0
rollout,"Power doubles every turn this move is used in succession after the first, resetting after five turns.",1,30
false-swipe,Cannot lower the target’s HP below 1.,1,40
swagger,Raises the target’s Attack by two stages and confuses the target.,0,0
milk-drink,Heals the user by half its max HP.,0,0
spark,Has a 30% chance to paralyze the target.,1,65
fury-cutter,"Power doubles every turn this move is used in succession after the first, maxing out after five turns.",1,40
steel-wing,Has a 10% chance to raise the user’s Defense by one stage.,1,70
mean-look,Prevents the target from leaving battle.,0,0
attract,"Target falls in love if it has the opposite gender, and has a 50% chance to refuse attacking the user.",0,0
sleep-talk,Randomly uses one of the user’s other three moves.  Only works if the user is sleeping.,0,0
heal-bell,Cures the entire party of major status effects.,0,0
return,"Power increases with happiness, up to a maximum of 102.",0,0
present,Randomly inflicts damage with power from 40 to 120 or heals the target for 1/4 its max HP.,0,0
frustration,"Power increases as happiness decreases, up to a maximum of 102.",0,0
safeguard,Protects the user’s field from major status ailments and confusion for five turns.,0,0
pain-split,Sets the user’s and targets’s HP to the average of their current HP.,0,0
sacred-fire,Has a 50% chance to burn the target.  Lets frozen Pokémon thaw themselves.,1,100
magnitude,Power varies randomly from 10 to 150.,0,0
dynamic-punch,Has a 100% chance to confuse the target.,1,100
megahorn,Inflicts regular damage with no additional effect.,1,120
dragon-breath,Has a 30% chance to paralyze the target.,1,60
baton-pass,Allows the trainer to switch out the user and pass effects along to its replacement.,0,0
encore,Forces the target to repeat its last used move every turn for 2 to 6 turns.,0,0
pursuit,"Has double power against, and can hit, Pokémon attempting to switch out.",1,40
rapid-spin,"Frees the user from binding moves, removes Leech Seed, and blows away Spikes.",1,50
sweet-scent,Lowers the target’s evasion by one stage.,0,0
iron-tail,Has a 30% chance to lower the target’s Defense by one stage.,1,100
metal-claw,Has a 10% chance to raise the user’s Attack by one stage.,1,50
vital-throw,Never misses.,1,70
morning-sun,Heals the user by half its max HP.  Affected by weather.,0,0
synthesis,Heals the user by half its max HP.  Affected by weather.,0,0
moonlight,Heals the user by half its max HP.  Affected by weather.,0,0
hidden-power,Power and type depend upon user’s IVs.  Power can range from 30 to 70.,1,60
cross-chop,Has an increased chance for a critical hit.,1,100
twister,Has a 20% chance to make the target flinch.,1,40
rain-dance,Changes the weather to rain for five turns.,0,0
sunny-day,Changes the weather to sunny for five turns.,0,0
crunch,Has a 20% chance to lower the target’s Defense by one stage.,1,80
mirror-coat,Inflicts twice the damage the user received from the last special hit it took.,0,0
psych-up,Discards the user’s stat changes and copies the target’s.,0,0
extreme-speed,Inflicts regular damage with no additional effect.,1,80
ancient-power,Has a 10% chance to raise all of the user’s stats by one stage.,1,60
shadow-ball,Has a 20% chance to lower the target’s Special Defense by one stage.,1,80
future-sight,Hits the target two turns later.,1,120
rock-smash,Has a 50% chance to lower the target’s Defense by one stage.,1,40
whirlpool,Prevents the target from leaving battle and inflicts 1/16 its max HP in damage for 2-5 turns.,1,35
beat-up,Hits once for every conscious Pokémon the trainer has.,0,0
fake-out,Can only be used as the first move after the user enters battle.  Causes the target to flinch.,1,40
uproar,Forced to use this move for several turns.  Pokémon cannot fall asleep in that time.,1,90
stockpile,Stores energy up to three times for use with Spit Up and Swallow.,0,0
spit-up,Power is 100 times the amount of energy Stockpiled.,0,0
swallow,"Recovers 1/4 HP after one Stockpile, 1/2 HP after two Stockpiles, or full HP after three Stockpiles.",0,0
heat-wave,Has a 10% chance to burn the target.,1,95
hail,Changes the weather to a hailstorm for five turns.,0,0
torment,Prevents the target from using the same move twice in a row.,0,0
flatter,Raises the target’s Special Attack by one stage and confuses the target.,0,0
will-o-wisp,Burns the target.,0,0
memento,Lowers the target’s Attack and Special Attack by two stages.  User faints.,0,0
facade,"Power doubles if user is burned, paralyzed, or poisoned.",1,70
focus-punch,"If the user takes damage before attacking, the attack is canceled.",1,150
smelling-salts,"If the target is paralyzed, inflicts double damage and cures the paralysis.",1,70
follow-me,Redirects the target’s single-target effects to the user for this turn.,0,0
nature-power,Uses a move which depends upon the terrain.,0,0
charge,Raises the user’s Special Defense by one stage.  User’s Electric moves have doubled power next turn.,0,0
taunt,"For the next few turns, the target can only use damaging moves.",0,0
helping-hand,Ally’s next move inflicts half more damage.,0,0
trick,User and target swap items.,0,0
role-play,Copies the target’s ability.,0,0
wish,User will recover half its max HP at the end of the next turn.,0,0
assist,Randomly selects and uses one of the trainer’s other Pokémon’s moves.,0,0
ingrain,Prevents the user from leaving battle.  User regains 1/16 of its max HP every turn.,0,0
superpower,Lowers the user’s Attack and Defense by one stage after inflicting damage.,1,120
magic-coat,Reflects back the first effect move used on the user this turn.,0,0
recycle,User recovers the item it last used up.,0,0
revenge,Inflicts double damage if the user takes damage before attacking this turn.,1,60
brick-break,Destroys Reflect and Light Screen.,1,75
yawn,Target sleeps at the end of the next turn.,0,0
knock-off,Target drops its held item.,1,65
endeavor,Lowers the target’s HP to equal the user’s.,0,0
eruption,"Inflicts more damage when the user has more HP remaining, with a maximum of 150 power.",1,150
skill-swap,User and target swap abilities.,0,0
imprison,Prevents the target from using any moves that the user also knows.,0,0
refresh,"Cleanses the user of a burn, paralysis, or poison.",0,0
grudge,"If the user faints this turn, the PP of the move that fainted it drops to 0.",0,0
snatch,"Steals the target’s move, if it’s self-targeted.",0,0
secret-power,Has a 30% chance to inflict a status effect which depends upon the terrain.,1,70
dive,"User dives underwater, dodging all attacks, and hits next turn.",1,80
arm-thrust,Hits 2-5 times in one turn.,1,15
camouflage,User’s type changes to match the terrain.,0,0
tail-glow,Raises the user’s Special Attack by three stages.,0,0
luster-purge,Has a 50% chance to lower the target’s Special Defense by one stage.,1,95
mist-ball,Has a 50% chance to lower the target’s Special Attack by one stage.,1,95
feather-dance,Lowers the target’s Attack by two stages.,0,0
teeter-dance,Confuses the target.,0,0
blaze-kick,Has an increased chance for a critical hit and a 10% chance to burn the target.,1,85
mud-sport,Halves all Electric-type damage.,0,0
ice-ball,"Power doubles every turn this move is used in succession after the first, resetting after five turns.",1,30
needle-arm,Has a 30% chance to make the target flinch.,1,60
slack-off,Heals the user by half its max HP.,0,0
hyper-voice,Inflicts regular damage with no additional effect.,1,90
poison-fang,Has a 50% chance to badly poison the target.,1,50
crush-claw,Has a 50% chance to lower the target’s Defense by one stage.,1,75
blast-burn,User foregoes its next turn to recharge.,1,150
hydro-cannon,User foregoes its next turn to recharge.,1,150
meteor-mash,Has a 20% chance to raise the user’s Attack by one stage.,1,90
astonish,Has a 30% chance to make the target flinch.,1,30
weather-ball,"If there be weather, this move has doubled power and the weather’s type.",1,50
aromatherapy,Cures the entire party of major status effects.,0,0
fake-tears,Lowers the target’s Special Defense by two stages.,0,0
air-cutter,Has an increased chance for a critical hit.,1,60
overheat,Lowers the user’s Special Attack by two stages after inflicting damage.,1,130
odor-sleuth,"Forces the target to have no Evade, and allows it to be hit by Normal and Fighting moves even if it’s a Ghost.",0,0
rock-tomb,Has a 100% chance to lower the target’s Speed by one stage.,1,60
silver-wind,Has a 10% chance to raise all of the user’s stats by one stage.,1,60
metal-sound,Lowers the target’s Special Defense by two stages.,0,0
grass-whistle,Puts the target to sleep.,0,0
tickle,Lowers the target’s Attack and Defense by one stage.,0,0
cosmic-power,Raises the user’s Defense and Special Defense by one stage.,0,0
water-spout,"Inflicts more damage when the user has more HP remaining, with a maximum of 150 power.",1,150
signal-beam,Has a 10% chance to confuse the target.,1,75
shadow-punch,Never misses.,1,60
extrasensory,Has a 10% chance to make the target flinch.,1,80
sky-uppercut,Inflicts regular damage and can hit Bounce and Fly users.,1,85
sand-tomb,Prevents the target from fleeing and inflicts damage for 2-5 turns.,1,35
sheer-cold,Causes a one-hit KO.,0,0
muddy-water,Has a 30% chance to lower the target’s accuracy by one stage.,1,90
bullet-seed,Hits 2-5 times in one turn.,1,25
aerial-ace,Never misses.,1,60
icicle-spear,Hits 2-5 times in one turn.,1,25
iron-defense,Raises the user’s Defense by two stages.,0,0
block,Prevents the target from leaving battle.,0,0
howl,Raises the user’s Attack by one stage.,0,0
dragon-claw,Inflicts regular damage with no additional effect.,1,80
frenzy-plant,User foregoes its next turn to recharge.,1,150
bulk-up,Raises the user’s Attack and Defense by one stage.,0,0
bounce,"User bounces high into the air, dodging all attacks, and hits next turn.",1,85
mud-shot,Has a 100% chance to lower the target’s Speed by one stage.,1,55
poison-tail,Has an increased chance for a critical hit and a 10% chance to poison the target.,1,50
covet,Takes the target’s item.,1,60
volt-tackle,User takes 1/3 the damage inflicted in recoil.  Has a 10% chance to paralyze the target.,1,120
magical-leaf,Never misses.,1,60
water-sport,Halves all Fire-type damage.,0,0
calm-mind,Raises the user’s Special Attack and Special Defense by one stage.,0,0
leaf-blade,Has an increased chance for a critical hit.,1,90
dragon-dance,Raises the user’s Attack and Speed by one stage.,0,0
rock-blast,Hits 2-5 times in one turn.,1,25
shock-wave,Never misses.,1,60
water-pulse,Has a 20% chance to confuse the target.,1,60
doom-desire,Hits the target two turns later.,1,140
psycho-boost,Lowers the user’s Special Attack by two stages after inflicting damage.,1,140
roost,Heals the user by half its max HP.,0,0
gravity,Disables moves and immunities that involve flying or levitating for five turns.,0,0
miracle-eye,"Forces the target to have no evasion, and allows it to be hit by Psychic moves even if it’s Dark.",0,0
wake-up-slap,"If the target is asleep, has double power and wakes it up.",1,70
hammer-arm,Lowers user’s Speed by one stage.,1,100
gyro-ball,"Power raises when the user has lower Speed, up to a maximum of 150.",0,0
healing-wish,User faints.  Its replacement has its HP fully restored and any major status effect removed.,0,0
brine,Has double power against Pokémon that have less than half their max HP remaining.,1,65
natural-gift,Power and type depend on the held berry.,0,0
feint,Hits through Protect and Detect.,1,30
pluck,"If target has a berry, inflicts double damage and uses the berry.",1,60
tailwind,"For three turns, friendly Pokémon have doubled Speed.",0,0
acupressure,Raises one of a friendly Pokémon’s stats at random by two stages.,0,0
metal-burst,Strikes back at the last Pokémon to hit the user this turn with 1.5× the damage.,0,0
u-turn,User must switch out after attacking.,1,70
close-combat,Lowers the user’s Defense and Special Defense by one stage after inflicting damage.,1,120
payback,Power is doubled if the target has already moved this turn.,1,50
assurance,Power is doubled if the target has already received damage this turn.,1,60
embargo,Target cannot use held items.,0,0
fling,Throws held item at the target; power depends on the item.,0,0
psycho-shift,Transfers the user’s major status effect to the target.,0,0
trump-card,"Power increases when this move has less PP, up to a maximum of 200.",0,0
heal-block,Prevents target from restoring its HP for five turns.,0,0
wring-out,"Power increases against targets with more HP remaining, up to a maximum of 121 power.",0,0
power-trick,User swaps Attack and Defense.,0,0
gastro-acid,Nullifies target’s ability until it leaves battle.,0,0
lucky-chant,Prevents the target from scoring critical hits for five turns.,0,0
me-first,"Uses the target’s move against it before it attacks, with power increased by half.",0,0
copycat,Uses the target’s last used move.,0,0
power-swap,User swaps Attack and Special Attack changes with the target.,0,0
guard-swap,User swaps Defense and Special Defense changes with the target.,0,0
punishment,"Power increases against targets with more raised stats, up to a maximum of 200.",0,0
last-resort,Can only be used after all of the user’s other moves have been used.,1,140
worry-seed,Changes the target’s ability to Insomnia.,0,0
sucker-punch,Only works if the target is about to use a damaging move.,1,70
toxic-spikes,"Scatters poisoned spikes, poisoning opposing Pokémon that switch in.",0,0
heart-swap,User and target swap stat changes.,0,0
aqua-ring,Restores 1/16 of the user’s max HP each turn.,0,0
magnet-rise,User is immune to Ground moves and effects for five turns.,0,0
flare-blitz,User takes 1/3 the damage inflicted in recoil.  Has a 10% chance to burn the target.,1,120
force-palm,Has a 30% chance to paralyze the target.,1,60
aura-sphere,Never misses.,1,80
rock-polish,Raises the user’s Speed by two stages.,0,0
poison-jab,Has a 30% chance to poison the target.,1,80
dark-pulse,Has a 20% chance to make the target flinch.,1,80
night-slash,Has an increased chance for a critical hit.,1,70
aqua-tail,Inflicts regular damage with no additional effect.,1,90
seed-bomb,Inflicts regular damage with no additional effect.,1,80
air-slash,Has a 30% chance to make the target flinch.,1,75
x-scissor,Inflicts regular damage with no additional effect.,1,80
bug-buzz,Has a 10% chance to lower the target’s Special Defense by one stage.,1,90
dragon-pulse,Inflicts regular damage with no additional effect.,1,85
dragon-rush,Has a 20% chance to make the target flinch.,1,100
power-gem,Inflicts regular damage with no additional effect.,1,80
drain-punch,Drains half the damage inflicted to heal the user.,1,75
vacuum-wave,Inflicts regular damage with no additional effect.,1,40
focus-blast,Has a 10% chance to lower the target’s Special Defense by one stage.,1,120
energy-ball,Has a 10% chance to lower the target’s Special Defense by one stage.,1,90
brave-bird,User receives 1/3 the damage inflicted in recoil.,1,120
earth-power,Has a 10% chance to lower the target’s Special Defense by one stage.,1,90
switcheroo,User and target swap items.,0,0
giga-impact,User foregoes its next turn to recharge.,1,150
nasty-plot,Raises the user’s Special Attack by two stages.,0,0
bullet-punch,Inflicts regular damage with no additional effect.,1,40
avalanche,Inflicts double damage if the user takes damage before attacking this turn.,1,60
ice-shard,Inflicts regular damage with no additional effect.,1,40
shadow-claw,Has an increased chance for a critical hit.,1,70
thunder-fang,Has a 10% chance to paralyze the target and a 10% chance to make the target flinch.,1,65
ice-fang,Has a 10% chance to freeze the target and a 10% chance to make the target flinch.,1,65
fire-fang,Has a 10% chance to burn the target and a 10% chance to make the target flinch.,1,65
shadow-sneak,Inflicts regular damage with no additional effect.,1,40
mud-bomb,Has a 30% chance to lower the target’s accuracy by one stage.,1,65
psycho-cut,Has an increased chance for a critical hit.,1,70
zen-headbutt,Has a 20% chance to make the target flinch.,1,80
mirror-shot,Has a 30% chance to lower the target’s accuracy by one stage.,1,65
flash-cannon,Has a 10% chance to lower the target’s Special Defense by one stage.,1,80
rock-climb,Has a 20% chance to confuse the target.,1,90
defog,Lowers the target’s evasion by one stage.  Removes field effects from the enemy field.,0,0
trick-room,"For five turns, slower Pokémon will act before faster Pokémon.",0,0
draco-meteor,Lowers the user’s Special Attack by two stages after inflicting damage.,1,130
discharge,Has a 30% chance to paralyze the target.,1,80
lava-plume,Has a 30% chance to burn the target.,1,80
leaf-storm,Lowers the user’s Special Attack by two stages after inflicting damage.,1,130
power-whip,Inflicts regular damage with no additional effect.,1,120
rock-wrecker,User foregoes its next turn to recharge.,1,150
cross-poison,Has an increased chance for a critical hit and a 10% chance to poison the target.,1,70
gunk-shot,Has a 30% chance to poison the target.,1,120
iron-head,Has a 30% chance to make the target flinch.,1,80
magnet-bomb,Never misses.,1,60
stone-edge,Has an increased chance for a critical hit.,1,100
captivate,Lowers the target’s Special Attack by two stages if it’s the opposite gender.,0,0
stealth-rock,Causes damage when opposing Pokémon switch in.,0,0
grass-knot,"Inflicts more damage to heavier targets, with a maximum of 120 power.",0,0
chatter,Has a higher chance to confuse the target when the recorded sound is louder.,1,65
judgment,"If the user is holding a appropriate plate or drive, the damage inflicted will match it.",1,100
bug-bite,"If target has a berry, inflicts double damage and uses the berry.",1,60
charge-beam,Has a 70% chance to raise the user’s Special Attack by one stage.,1,50
wood-hammer,User receives 1/3 the damage inflicted in recoil.,1,120
aqua-jet,Inflicts regular damage with no additional effect.,1,40
attack-order,Has an increased chance for a critical hit.,1,90
defend-order,Raises the user’s Defense and Special Defense by one stage.,0,0
heal-order,Heals the user by half its max HP.,0,0
head-smash,User receives 1/2 the damage inflicted in recoil.,1,150
double-hit,Hits twice in one turn.,1,35
roar-of-time,User foregoes its next turn to recharge.,1,150
spacial-rend,Has an increased chance for a critical hit.,1,100
lunar-dance,"User faints, and its replacement is fully healed.",0,0
crush-grip,"Power increases against targets with more HP remaining, up to a maximum of 121 power.",0,0
magma-storm,Prevents the target from fleeing and inflicts damage for 2-5 turns.,1,100
dark-void,Puts the target to sleep.,0,0
seed-flare,Has a 40% chance to lower the target’s Special Defense by two stages.,1,120
ominous-wind,Has a 10% chance to raise all of the user’s stats by one stage.,1,60
shadow-force,"User vanishes, dodging all attacks, and hits next turn.  Hits through Protect and Detect.",1,120
hone-claws,Raises the user’s Attack and accuracy by one stage.,0,0
wide-guard,Prevents any multi-target moves from hitting friendly Pokémon this turn.,0,0
guard-split,Averages Defense and Special Defense with the target.,0,0
power-split,Averages Attack and Special Attack with the target.,0,0
wonder-room,All Pokémon’s Defense and Special Defense are swapped for 5 turns.,0,0
psyshock,"Inflicts damage based on the target’s Defense, not Special Defense.",1,80
venoshock,Inflicts double damage if the target is Poisoned.,1,65
autotomize,Raises the user’s Speed by two stages and halves the user’s weight.,0,0
rage-powder,Redirects the target’s single-target effects to the user for this turn.,0,0
telekinesis,Moves have 100% accuracy against the target for three turns.,0,0
magic-room,Negates held items for five turns.,0,0
smack-down,Removes any immunity to Ground damage.,1,50
storm-throw,Always scores a critical hit.,1,60
flame-burst,Deals splash damage to Pokémon next to the target.,1,70
sludge-wave,Has a 10% chance to poison the target.,1,95
